Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptoms
Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,"['indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability']"
Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,"['acidity', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability']"
Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,"['acidity', 'indigestion', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability']"
Migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability,"['acidity', 'indigestion', 'headache', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability']"
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'stiff_neck', 'depression', 'irritability']"
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'depression', 'irritability']"
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'irritability']"
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression']"
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression']"
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance, nausea, abdominal_pain,"['back_pain', 'weakness_in_limbs', 'neck_pain', 'dizziness', 'loss_of_balance', 'nausea', 'abdominal_pain']"
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance, nausea, abdominal_pain,"['back_pain', 'weakness_in_limbs', 'neck_pain', 'dizziness', 'loss_of_balance', 'nausea', 'abdominal_pain']"
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance, headache, nausea, abdominal_pain,"['weakness_in_limbs', 'neck_pain', 'dizziness', 'loss_of_balance', 'headache', 'nausea', 'abdominal_pain']"
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance, headache, nausea, abdominal_pain,"['back_pain', 'neck_pain', 'dizziness', 'loss_of_balance', 'headache', 'nausea', 'abdominal_pain']"
Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance, headache, nausea, abdominal_pain,"['back_pain', 'weakness_in_limbs', 'dizziness', 'loss_of_balance', 'headache', 'nausea', 'abdominal_pain']"
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance, headache, nausea, abdominal_pain,"['back_pain', 'weakness_in_limbs', 'neck_pain', 'loss_of_balance', 'headache', 'nausea', 'abdominal_pain']"
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, headache, nausea, abdominal_pain,"['back_pain', 'weakness_in_limbs', 'neck_pain', 'dizziness', 'headache', 'nausea', 'abdominal_pain']"
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance, nausea, abdominal_pain,"['back_pain', 'weakness_in_limbs', 'neck_pain', 'dizziness', 'loss_of_balance', 'nausea', 'abdominal_pain']"
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance, headache, nausea, abdominal_pain,"['weakness_in_limbs', 'neck_pain', 'dizziness', 'loss_of_balance', 'headache', 'nausea', 'abdominal_pain']"
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance, headache, nausea, abdominal_pain,"['back_pain', 'neck_pain', 'dizziness', 'loss_of_balance', 'headache', 'nausea', 'abdominal_pain']"
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium, headache, nausea, abdominal_pain,"['vomiting', 'headache', 'weakness_of_one_body_side', 'altered_sensorium', 'headache', 'nausea', 'abdominal_pain']"
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium, headache, nausea, abdominal_pain,"['vomiting', 'headache', 'weakness_of_one_body_side', 'altered_sensorium', 'headache', 'nausea', 'abdominal_pain']"
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium, high_fever, headache, nausea, abdominal_pain,"['headache', 'weakness_of_one_body_side', 'altered_sensorium', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium, high_fever, headache, nausea, abdominal_pain,"['vomiting', 'weakness_of_one_body_side', 'altered_sensorium', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium, high_fever, headache, nausea, abdominal_pain,"['vomiting', 'headache', 'altered_sensorium', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, high_fever, headache, nausea, abdominal_pain,"['vomiting', 'headache', 'weakness_of_one_body_side', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium, headache, nausea, abdominal_pain,"['vomiting', 'headache', 'weakness_of_one_body_side', 'altered_sensorium', 'headache', 'nausea', 'abdominal_pain']"
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium, high_fever, headache, nausea, abdominal_pain,"['headache', 'weakness_of_one_body_side', 'altered_sensorium', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium, high_fever, headache, nausea, abdominal_pain,"['vomiting', 'weakness_of_one_body_side', 'altered_sensorium', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium, high_fever, headache, nausea, abdominal_pain,"['vomiting', 'headache', 'altered_sensorium', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine,"['itching', 'vomiting', 'fatigue', 'weight_loss', 'high_fever', 'yellowish_skin', 'dark_urine']"
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine,"['itching', 'vomiting', 'fatigue', 'weight_loss', 'high_fever', 'yellowish_skin', 'dark_urine']"
Jaundice, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,"['vomiting', 'fatigue', 'weight_loss', 'high_fever', 'yellowish_skin', 'dark_urine', 'abdominal_pain']"
Jaundice,itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,"['itching', 'fatigue', 'weight_loss', 'high_fever', 'yellowish_skin', 'dark_urine', 'abdominal_pain']"
Jaundice,itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,"['itching', 'vomiting', 'weight_loss', 'high_fever', 'yellowish_skin', 'dark_urine', 'abdominal_pain']"
Jaundice,itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain,"['itching', 'vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'abdominal_pain']"
Jaundice,itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain,"['itching', 'vomiting', 'fatigue', 'weight_loss', 'yellowish_skin', 'dark_urine', 'abdominal_pain']"
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, abdominal_pain,"['itching', 'vomiting', 'fatigue', 'weight_loss', 'high_fever', 'dark_urine', 'abdominal_pain']"
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, abdominal_pain,"['itching', 'vomiting', 'fatigue', 'weight_loss', 'high_fever', 'yellowish_skin', 'abdominal_pain']"
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine,"['itching', 'vomiting', 'fatigue', 'weight_loss', 'high_fever', 'yellowish_skin', 'dark_urine']"
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,"['chills', 'vomiting', 'high_fever', 'sweating', 'headache', 'nausea', 'muscle_pain']"
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea,"['chills', 'vomiting', 'high_fever', 'sweating', 'headache', 'nausea', 'diarrhoea']"
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea,"['chills', 'vomiting', 'high_fever', 'sweating', 'headache', 'nausea', 'diarrhoea']"
Malaria, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,"['vomiting', 'high_fever', 'sweating', 'headache', 'nausea', 'diarrhoea', 'muscle_pain']"
Malaria, chills, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,"['chills', 'high_fever', 'sweating', 'headache', 'nausea', 'diarrhoea', 'muscle_pain']"
Malaria, chills, vomiting, sweating, headache, nausea, diarrhoea, muscle_pain,"['chills', 'vomiting', 'sweating', 'headache', 'nausea', 'diarrhoea', 'muscle_pain']"
Malaria, chills, vomiting, high_fever, headache, nausea, diarrhoea, muscle_pain,"['chills', 'vomiting', 'high_fever', 'headache', 'nausea', 'diarrhoea', 'muscle_pain']"
Malaria, chills, vomiting, high_fever, sweating, nausea, diarrhoea, muscle_pain,"['chills', 'vomiting', 'high_fever', 'sweating', 'nausea', 'diarrhoea', 'muscle_pain']"
Malaria, chills, vomiting, high_fever, sweating, headache, diarrhoea, muscle_pain,"['chills', 'vomiting', 'high_fever', 'sweating', 'headache', 'diarrhoea', 'muscle_pain']"
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,"['chills', 'vomiting', 'high_fever', 'sweating', 'headache', 'nausea', 'muscle_pain']"
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite,"['itching', 'skin_rash', 'fatigue', 'lethargy', 'high_fever', 'headache', 'loss_of_appetite']"
Chicken pox, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever,"['skin_rash', 'fatigue', 'lethargy', 'high_fever', 'headache', 'loss_of_appetite', 'mild_fever']"
Chicken pox,itching, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever,"['itching', 'fatigue', 'lethargy', 'high_fever', 'headache', 'loss_of_appetite', 'mild_fever']"
Chicken pox,itching, skin_rash, lethargy, high_fever, headache, loss_of_appetite, mild_fever,"['itching', 'skin_rash', 'lethargy', 'high_fever', 'headache', 'loss_of_appetite', 'mild_fever']"
Chicken pox,itching, skin_rash, fatigue, high_fever, headache, loss_of_appetite, mild_fever,"['itching', 'skin_rash', 'fatigue', 'high_fever', 'headache', 'loss_of_appetite', 'mild_fever']"
Chicken pox,itching, skin_rash, fatigue, lethargy, headache, loss_of_appetite, mild_fever,"['itching', 'skin_rash', 'fatigue', 'lethargy', 'headache', 'loss_of_appetite', 'mild_fever']"
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, loss_of_appetite, mild_fever,"['itching', 'skin_rash', 'fatigue', 'lethargy', 'high_fever', 'loss_of_appetite', 'mild_fever']"
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, mild_fever,"['itching', 'skin_rash', 'fatigue', 'lethargy', 'high_fever', 'headache', 'mild_fever']"
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite,"['itching', 'skin_rash', 'fatigue', 'lethargy', 'high_fever', 'headache', 'loss_of_appetite']"
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite,"['itching', 'skin_rash', 'fatigue', 'lethargy', 'high_fever', 'headache', 'loss_of_appetite']"
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache,"['skin_rash', 'chills', 'joint_pain', 'vomiting', 'fatigue', 'high_fever', 'headache']"
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache,"['skin_rash', 'chills', 'joint_pain', 'vomiting', 'fatigue', 'high_fever', 'headache']"
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache,"['skin_rash', 'chills', 'joint_pain', 'vomiting', 'fatigue', 'high_fever', 'headache']"
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache,"['skin_rash', 'chills', 'joint_pain', 'vomiting', 'fatigue', 'high_fever', 'headache']"
Dengue, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea,"['chills', 'joint_pain', 'vomiting', 'fatigue', 'high_fever', 'headache', 'nausea']"
Dengue, skin_rash, joint_pain, vomiting, fatigue, high_fever, headache, nausea,"['skin_rash', 'joint_pain', 'vomiting', 'fatigue', 'high_fever', 'headache', 'nausea']"
Dengue, skin_rash, chills, vomiting, fatigue, high_fever, headache, nausea,"['skin_rash', 'chills', 'vomiting', 'fatigue', 'high_fever', 'headache', 'nausea']"
Dengue, skin_rash, chills, joint_pain, fatigue, high_fever, headache, nausea,"['skin_rash', 'chills', 'joint_pain', 'fatigue', 'high_fever', 'headache', 'nausea']"
Dengue, skin_rash, chills, joint_pain, vomiting, high_fever, headache, nausea,"['skin_rash', 'chills', 'joint_pain', 'vomiting', 'high_fever', 'headache', 'nausea']"
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, headache, nausea,"['skin_rash', 'chills', 'joint_pain', 'vomiting', 'fatigue', 'headache', 'nausea']"
Typhoid, chills, vomiting, fatigue, high_fever, nausea, constipation, abdominal_pain,"['chills', 'vomiting', 'fatigue', 'high_fever', 'nausea', 'constipation', 'abdominal_pain']"
Typhoid, chills, vomiting, fatigue, high_fever, headache, constipation, abdominal_pain,"['chills', 'vomiting', 'fatigue', 'high_fever', 'headache', 'constipation', 'abdominal_pain']"
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, abdominal_pain,"['chills', 'vomiting', 'fatigue', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation,"['chills', 'vomiting', 'fatigue', 'high_fever', 'headache', 'nausea', 'constipation']"
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation,"['chills', 'vomiting', 'fatigue', 'high_fever', 'headache', 'nausea', 'constipation']"
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation,"['chills', 'vomiting', 'fatigue', 'high_fever', 'headache', 'nausea', 'constipation']"
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation,"['chills', 'vomiting', 'fatigue', 'high_fever', 'headache', 'nausea', 'constipation']"
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation,"['chills', 'vomiting', 'fatigue', 'high_fever', 'headache', 'nausea', 'constipation']"
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation,"['chills', 'vomiting', 'fatigue', 'high_fever', 'headache', 'nausea', 'constipation']"
Typhoid, chills, fatigue, high_fever, headache, nausea, constipation, abdominal_pain,"['chills', 'fatigue', 'high_fever', 'headache', 'nausea', 'constipation', 'abdominal_pain']"
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain,"['joint_pain', 'vomiting', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain']"
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain,"['joint_pain', 'vomiting', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain']"
hepatitis A, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea,"['vomiting', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'diarrhoea']"
hepatitis A, joint_pain, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea,"['joint_pain', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'diarrhoea']"
hepatitis A, joint_pain, vomiting, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea,"['joint_pain', 'vomiting', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'diarrhoea']"
hepatitis A, joint_pain, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, diarrhoea,"['joint_pain', 'vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'diarrhoea']"
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, diarrhoea,"['joint_pain', 'vomiting', 'yellowish_skin', 'dark_urine', 'loss_of_appetite', 'abdominal_pain', 'diarrhoea']"
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, abdominal_pain, diarrhoea,"['joint_pain', 'vomiting', 'yellowish_skin', 'dark_urine', 'nausea', 'abdominal_pain', 'diarrhoea']"
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, diarrhoea,"['joint_pain', 'vomiting', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'diarrhoea']"
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain,"['joint_pain', 'vomiting', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain']"
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain,"['itching', 'fatigue', 'lethargy', 'yellowish_skin', 'dark_urine', 'loss_of_appetite', 'abdominal_pain']"
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain,"['itching', 'fatigue', 'lethargy', 'yellowish_skin', 'dark_urine', 'loss_of_appetite', 'abdominal_pain']"
Hepatitis B, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine,"['fatigue', 'lethargy', 'yellowish_skin', 'dark_urine', 'loss_of_appetite', 'abdominal_pain', 'yellow_urine']"
Hepatitis B,itching, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine,"['itching', 'lethargy', 'yellowish_skin', 'dark_urine', 'loss_of_appetite', 'abdominal_pain', 'yellow_urine']"
Hepatitis B,itching, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine,"['itching', 'fatigue', 'yellowish_skin', 'dark_urine', 'loss_of_appetite', 'abdominal_pain', 'yellow_urine']"
Hepatitis B,itching, fatigue, lethargy, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine,"['itching', 'fatigue', 'lethargy', 'dark_urine', 'loss_of_appetite', 'abdominal_pain', 'yellow_urine']"
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, loss_of_appetite, abdominal_pain, yellow_urine,"['itching', 'fatigue', 'lethargy', 'yellowish_skin', 'loss_of_appetite', 'abdominal_pain', 'yellow_urine']"
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, abdominal_pain, yellow_urine,"['itching', 'fatigue', 'lethargy', 'yellowish_skin', 'dark_urine', 'abdominal_pain', 'yellow_urine']"
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, yellow_urine,"['itching', 'fatigue', 'lethargy', 'yellowish_skin', 'dark_urine', 'loss_of_appetite', 'yellow_urine']"
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain,"['itching', 'fatigue', 'lethargy', 'yellowish_skin', 'dark_urine', 'loss_of_appetite', 'abdominal_pain']"
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, family_history, nausea, abdominal_pain,"['fatigue', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'family_history', 'nausea', 'abdominal_pain']"
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history, abdominal_pain,"['fatigue', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'yellowing_of_eyes', 'family_history', 'abdominal_pain']"
Hepatitis C, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history, nausea, abdominal_pain,"['yellowish_skin', 'nausea', 'loss_of_appetite', 'yellowing_of_eyes', 'family_history', 'nausea', 'abdominal_pain']"
Hepatitis C, fatigue, nausea, loss_of_appetite, yellowing_of_eyes, family_history, nausea, abdominal_pain,"['fatigue', 'nausea', 'loss_of_appetite', 'yellowing_of_eyes', 'family_history', 'nausea', 'abdominal_pain']"
Hepatitis C, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes, family_history, nausea, abdominal_pain,"['fatigue', 'yellowish_skin', 'loss_of_appetite', 'yellowing_of_eyes', 'family_history', 'nausea', 'abdominal_pain']"
Hepatitis C, fatigue, yellowish_skin, nausea, yellowing_of_eyes, family_history, nausea, abdominal_pain,"['fatigue', 'yellowish_skin', 'nausea', 'yellowing_of_eyes', 'family_history', 'nausea', 'abdominal_pain']"
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, family_history, nausea, abdominal_pain,"['fatigue', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'family_history', 'nausea', 'abdominal_pain']"
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, nausea, abdominal_pain,"['fatigue', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'yellowing_of_eyes', 'nausea', 'abdominal_pain']"
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history, abdominal_pain,"['fatigue', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'yellowing_of_eyes', 'family_history', 'abdominal_pain']"
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history, abdominal_pain,"['fatigue', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'yellowing_of_eyes', 'family_history', 'abdominal_pain']"
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite']"
Hepatitis D, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain,"['vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain']"
Hepatitis D, joint_pain, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain,"['joint_pain', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain']"
Hepatitis D, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain,"['joint_pain', 'vomiting', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain']"
Hepatitis D, joint_pain, vomiting, fatigue, dark_urine, nausea, loss_of_appetite, abdominal_pain,"['joint_pain', 'vomiting', 'fatigue', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain']"
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain']"
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'loss_of_appetite', 'abdominal_pain']"
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, abdominal_pain,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'abdominal_pain']"
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite']"
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite']"
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'nausea']"
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'nausea']"
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'nausea']"
Hepatitis E, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite,"['vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite']"
Hepatitis E, joint_pain, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite,"['joint_pain', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite']"
Hepatitis E, joint_pain, vomiting, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite,"['joint_pain', 'vomiting', 'high_fever', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite']"
Hepatitis E, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite']"
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, dark_urine, nausea, loss_of_appetite,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'dark_urine', 'nausea', 'loss_of_appetite']"
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, nausea, loss_of_appetite,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'nausea', 'loss_of_appetite']"
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, loss_of_appetite,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'loss_of_appetite']"
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,"['vomiting', 'yellowish_skin', 'abdominal_pain', 'swelling_of_stomach', 'distention_of_abdomen', 'history_of_alcohol_consumption', 'fluid_overload']"
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,"['vomiting', 'yellowish_skin', 'abdominal_pain', 'swelling_of_stomach', 'distention_of_abdomen', 'history_of_alcohol_consumption', 'fluid_overload']"
Alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload, abdominal_pain,"['yellowish_skin', 'abdominal_pain', 'swelling_of_stomach', 'distention_of_abdomen', 'history_of_alcohol_consumption', 'fluid_overload', 'abdominal_pain']"
